Country Code,Year,Series Name,Series Code,Value
BEL,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845494139
BEL,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
BEL,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
BEL,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
BEL,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
BEL,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
BEL,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BEL,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.949623753
BEL,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
BEL,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
BEL,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
BEL,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
BEL,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
BEL,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BEL,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.924839558
BEN,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
BEN,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
BEN,2021,Classification of national industry,SPI.D5.2.3.CNIN,0.5
BEN,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
BEN,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
BEN,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BEN,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.6077989
BEN,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
BEN,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
BEN,2022,Classification of national industry,SPI.D5.2.3.CNIN,0.5
BEN,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
BEN,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
