country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
GUY,2022,4.419312967,0.0,1.0,1.0,0.0,1.0,208.5,Guyana,Latin America and the Caribbean
KAZ,2021,2.055703049,0.0,1.0,1.0,0.0,1.0,425.9075,Kazakhstan,Europe and Central Asia
KAZ,2022,2.124802626,0.0,1.0,1.0,0.0,1.0,460.165,Kazakhstan,Europe and Central Asia
KAZ,2023,2.334637767,0.0,1.0,1.0,0.0,1.0,456.165,Kazakhstan,Europe and Central Asia
LKA,2021,0.0,1.0,1.0,1.0,0.0,1.0,198.7643168,Sri Lanka,South Asia
LKA,2022,0.0,1.0,1.0,1.0,0.0,1.0,322.6326743,Sri Lanka,South Asia
LKA,2023,0.0,1.0,1.0,1.0,0.0,1.0,327.5065333,Sri Lanka,South Asia
MDV,2021,4.215692246,0.0,1.0,0.0,0.0,1.0,15.37269841,Maldives,South Asia
MDV,2022,4.325092324,0.0,1.0,0.0,0.0,1.0,15.386625,Maldives,South Asia
MDV,2023,6.519925273,1.0,1.0,1.0,0.0,1.0,15.38679435,Maldives,South Asia
MEX,2021,2.723806175,1.0,1.0,1.0,0.0,1.0,20.27240833,Mexico,Latin America and the Caribbean
MEX,2022,3.042180395,1.0,1.0,1.0,0.0,1.0,20.12735,Mexico,Latin America and the Caribbean
MKD,2021,2.206667638,1.0,1.0,1.0,0.0,1.0,52.10215833,North Macedonia,Europe and Central Asia
MKD,2022,2.07100072,1.0,1.0,1.0,0.0,1.0,58.57439167,North Macedonia,Europe and Central Asia
MNE,2021,1.714509654,1.0,1.0,1.0,0.0,1.0,0.845376564,Montenegro,Europe and Central Asia
MNE,2022,1.819693071,1.0,1.0,1.0,0.0,1.0,0.950915534,Montenegro,Europe and Central Asia
